vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.005392491817474365,0.4827849864959717,0.4773924946784973,1.4025664329528809,4.0656208992004395,0.3347415328025818,5,0,0,1,0,1,0,0.0,0.12716254591941833,2,contra,0.15,-1,4,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.0658082664012909,0.5655679702758789,0.499759703874588,1.6252366304397583,5.079620838165283,0.5359949469566345,10,0,0,1,0,1,1,0.13451796770095825,0.10757410526275635,2,contra,0.15,-1,5,29,CORRECT,0,0,0,0,1,0,0.048098,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.16582369804382324,0.6383922696113586,0.4725685715675354,0.49385181069374084,1.6386157274246216,0.9026393294334412,9,0,0,1,0,1,0,0.004283286165446043,0.2675301432609558,2,contra,0.15,-1,6,16,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.0,0.3990466296672821,0.3990466296672821,1.07344651222229,2.9254448413848877,0.3845641613006592,3,0,0,1,2,0,1,0.6154358386993408,0.0,0,contra,0.15,-1,7,13,CONTRADICTORY_LENIENT,0,1,0,0,1,0,0.384564,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.04575324058532715,0.45655307173728943,0.4107998311519623,1.175675392150879,3.240330696105957,0.5407198071479797,4,0,0,1,0,1,1,0.12136344611644745,0.074705570936203,2,contra,0.15,-1,10,16,CORRECT,0,0,0,0,1,0,0.121363,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.00714525580406189,0.41996464133262634,0.41281938552856445,1.7466751337051392,5.735501289367676,0.2277318835258484,6,0,1,0,1,0,1,0.6520216464996338,-0.00714525580406189,0,contra,0.15,-1,13,39,CONTRADICTORY_LENIENT,0,1,0,0,1,0,0.174302,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.13515961170196533,0.6480188965797424,0.5128592848777771,0.5550159811973572,1.7419688701629639,0.8755752444267273,7,0,0,1,0,1,0,0.06576880067586899,0.16941162943840027,2,contra,0.15,-1,14,15,CORRECT,0,0,0,0,1,0,0.006976,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.04656761884689331,0.36657634377479553,0.3200087249279022,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.04656761884689331,1,contra,0.15,-1,15,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.032222360372543335,0.4291180968284607,0.39689573645591736,1.0153745412826538,2.76039719581604,0.5246728658676147,3,0,0,1,0,1,1,0.19989876449108124,0.04824817180633545,1,contra,0.15,-1,16,11,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.454162,0.57646,0.118126,0.949219,0.364873,0.514873,0.06279602646827698,0.4024917781352997,0.3396957516670227,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.1291750967502594,2,contra,0.15,-1,18,21,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
