query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairD_oneshot_s1:e0:p1,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.5
pairD_oneshot_s1:e0:p3,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p5,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p8,2,1,0,ACT,"{""2"": 1.0}",0.0
pairD_oneshot_s1:e0:p11,2,1,0,ACT,"{""0"": 1.0}",1.0
pairD_oneshot_s1:e0:p16,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p18,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p20,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p22,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p24,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p26,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p30,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p32,2,1,1,ACT,"{""3"": 1.0}",0.0
pairD_oneshot_s1:e0:p37,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p45,2,1,1,ACT,"{""2"": 1.0}",0.0
pairD_oneshot_s1:e0:p47,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p50,2,0,0,ACT,"{""0"": 1.0}",1.0
pairD_oneshot_s1:e0:p53,2,1,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p55,2,1,0,ACT,"{""0"": 1.0}",1.0
pairD_oneshot_s1:e0:p58,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p62,2,0,1,ACT,"{""1"": 1.0}",0.0
pairD_oneshot_s1:e0:p63,2,0,0,ACT,"{""0"": 1.0}",1.0
pairD_oneshot_s1:e0:p67,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p71,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p80,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p82,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p84,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p85,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p86,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p89,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p96,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p98,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p103,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p108,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p112,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p113,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p115,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p118,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p126,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p127,2,1,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e0:p198,2,0,0,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e6:p4,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p5,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p6,2,1,1,ACT,"{""0"": 1.0}",0.0
pairD_oneshot_s1:e6:p7,3,1,1,ACT,"{""2"": 0.5, ""3"": 0.5}",0.5
pairD_oneshot_s1:e6:p9,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p10,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p14,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p15,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.5
pairD_oneshot_s1:e6:p16,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.5
pairD_oneshot_s1:e6:p18,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p19,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.5
pairD_oneshot_s1:e6:p20,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p21,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p25,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p26,2,1,1,ACT,"{""3"": 1.0}",1.0
pairD_oneshot_s1:e6:p27,2,1,1,ACT,"{""3"": 1.0}",1.0
