query_id,epoch,probe_index,led_slot,merge_support_flag,abstained_core,state,disposition,reason_code,evidence_ptr,certification_tier
pairD_oneshot_s1:e0:p1,0,1,105,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 105 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=witness, width=3, truncated=0]",harness-heuristic
pairD_oneshot_s1:e0:p2,0,2,120,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_oneshot_s1:e0:p3,0,3,19,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 19 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=pair_counterpart, width=2, truncated=0]",harness-heuristic
pairD_oneshot_s1:e0:p4,0,4,2,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_oneshot_s1:e0:p5,0,5,29,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 29 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=pair_counterpart, width=2, truncated=0]",harness-heuristic
pairD_oneshot_s1:e0:p6,0,6,16,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_oneshot_s1:e0:p7,0,7,13,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_oneshot_s1:e0:p8,0,8,79,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 79 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=witness, width=2, truncated=0]",harness-heuristic
pairD_oneshot_s1:e0:p9,0,9,5,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 5 superseded (supersession verdict) @epoch 0,harness-heuristic
pairD_oneshot_s1:e0:p10,0,10,16,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_oneshot_s1:e0:p11,0,11,63,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 63 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=witness, width=2, truncated=0]",harness-heuristic
