vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.008692145347595215,0.6145343780517578,0.6058422327041626,1.7476656436920166,5.741185188293457,0.24996277689933777,6,0,0,1,0,1,0,0.0,0.48662111163139343,2,stale-jitter0.05,0.0,6,0,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.002864539623260498,0.7485058903694153,0.7456413507461548,2.3716559410095215,10.715121269226074,0.20129522681236267,17,0,0,1,0,1,0,0.0,0.5389264225959778,2,stale-jitter0.05,0.0,6,1,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.03562748432159424,0.8512296676635742,0.81560218334198,1.8356702327728271,6.26933479309082,0.43962234258651733,15,0,0,1,0,1,0,0.0,0.613601803779602,2,stale-jitter0.05,0.0,6,2,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.06120377779006958,0.8351686596870422,0.7739648818969727,2.104161500930786,8.200223922729492,0.3973807692527771,18,0,0,1,0,1,0,0.0,0.6275011301040649,2,stale-jitter0.05,0.0,6,3,27,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.06320923566818237,0.6585389971733093,0.595329761505127,0.5272296667098999,1.6942322254180908,0.7797456979751587,2,0,0,1,0,1,0,0.0,0.5165534019470215,2,stale-jitter0.05,0.0,6,4,12,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.01838463544845581,0.8731691241264343,0.8547844886779785,2.0298383235931396,7.612855434417725,0.330687016248703,18,0,0,1,0,1,0,0.0,0.6164111495018005,2,stale-jitter0.05,0.0,6,5,27,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.024461090564727783,0.8591064214706421,0.8346453309059143,2.073556900024414,7.953061103820801,0.31084614992141724,17,0,0,1,0,1,0,0.0,0.5630691647529602,2,stale-jitter0.05,0.0,6,6,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.01217198371887207,0.7492260336875916,0.7370540499687195,1.462646245956421,4.31736946105957,0.3507823646068573,6,0,0,1,0,1,0,0.0,0.639962911605835,2,stale-jitter0.05,0.0,6,7,12,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.0574725866317749,0.8665192127227783,0.8090466260910034,1.7577788829803467,5.799541473388672,0.47031858563423157,16,0,0,1,0,1,0,0.0,0.5741294622421265,2,stale-jitter0.05,0.0,6,8,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,0.0,0.980469,0.572828,0.722828,0.02331995964050293,0.6571364402770996,0.6338164806365967,0.9938243627548218,2.7015464305877686,0.5197571516036987,3,0,0,1,0,1,0,0.0,0.32575005292892456,2,stale-jitter0.05,0.0,6,9,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
