split,target,model,n_train,n_test,train_auc,heldout_auc,note
parity,vote_correct,baseline:rank_gap,2449,2634,0.79,0.781,
parity,vote_correct,baseline:support_breadth,2449,2634,0.5576,0.5571,
parity,vote_correct,baseline:manifold_support,2449,2634,0.7434,0.7442,
parity,vote_correct,main:rank_gap+manifold_support,2449,2634,0.8112,0.804,
parity,vote_correct,diag:rank_gap+manifold_support+support^2,2449,2634,0.8155,0.809,
parity,top1_correct,baseline:rank_gap,2449,2634,0.8266,0.8079,
parity,top1_correct,baseline:support_breadth,2449,2634,0.5234,0.5472,
parity,top1_correct,baseline:manifold_support,2449,2634,0.6757,0.6912,
parity,top1_correct,main:rank_gap+manifold_support,2449,2634,0.8294,0.8132,
parity,top1_correct,diag:rank_gap+manifold_support+support^2,2449,2634,0.8301,0.8146,
contiguous,vote_correct,baseline:rank_gap,1772,3311,0.8537,0.7595,
contiguous,vote_correct,baseline:support_breadth,1772,3311,0.6778,0.5682,
contiguous,vote_correct,baseline:manifold_support,1772,3311,0.82,0.744,
contiguous,vote_correct,main:rank_gap+manifold_support,1772,3311,0.88,0.7988,
contiguous,vote_correct,diag:rank_gap+manifold_support+support^2,1772,3311,0.8882,0.7941,
contiguous,top1_correct,baseline:rank_gap,1772,3311,0.8525,0.7963,
contiguous,top1_correct,baseline:support_breadth,1772,3311,0.5494,0.5625,
contiguous,top1_correct,baseline:manifold_support,1772,3311,0.6892,0.6975,
contiguous,top1_correct,main:rank_gap+manifold_support,1772,3311,0.8531,0.8018,
contiguous,top1_correct,diag:rank_gap+manifold_support+support^2,1772,3311,0.8547,0.7972,
