policy,target,bucket,predictor,concept,n,base_rate_correct,auc,separation,orientation
margin,top1_correct,all,top1_top2_margin,rank_gap,2386,0.8265,0.5613,0.0613,1
margin,top1_correct,all,vote_entropy,support_dispersion,2386,0.8265,0.6248,0.1248,1
margin,top1_correct,all,effective_support,manifold_support,2386,0.8265,0.6248,0.1248,1
margin,top1_correct,all,max_vote_weight,peak_mass,2386,0.8265,0.434,0.066,-1
margin,top1_correct,all,n_surviving_votes,support_breadth,2386,0.8265,0.6995,0.1995,1
margin,top1_correct,all,sim_floor_active,floor_level,2386,0.8265,0.4132,0.0868,-1
margin,top1_correct,forced,top1_top2_margin,rank_gap,546,0.2418,0.2223,0.2777,-1
margin,top1_correct,forced,vote_entropy,support_dispersion,546,0.2418,0.7187,0.2187,1
margin,top1_correct,forced,effective_support,manifold_support,546,0.2418,0.7187,0.2187,1
margin,top1_correct,forced,max_vote_weight,peak_mass,546,0.2418,0.2378,0.2622,-1
margin,top1_correct,forced,n_surviving_votes,support_breadth,546,0.2418,0.6983,0.1983,1
margin,top1_correct,forced,sim_floor_active,floor_level,546,0.2418,0.5131,0.0131,1
margin,top1_correct,borderline,top1_top2_margin,rank_gap,211,1.0,,,1
margin,top1_correct,borderline,vote_entropy,support_dispersion,211,1.0,,,1
margin,top1_correct,borderline,effective_support,manifold_support,211,1.0,,,1
margin,top1_correct,borderline,max_vote_weight,peak_mass,211,1.0,,,1
margin,top1_correct,borderline,n_surviving_votes,support_breadth,211,1.0,,,1
margin,top1_correct,borderline,sim_floor_active,floor_level,211,1.0,,,1
margin,top1_correct,recoverable,top1_top2_margin,rank_gap,1629,1.0,,,1
margin,top1_correct,recoverable,vote_entropy,support_dispersion,1629,1.0,,,1
margin,top1_correct,recoverable,effective_support,manifold_support,1629,1.0,,,1
margin,top1_correct,recoverable,max_vote_weight,peak_mass,1629,1.0,,,1
margin,top1_correct,recoverable,n_surviving_votes,support_breadth,1629,1.0,,,1
margin,top1_correct,recoverable,sim_floor_active,floor_level,1629,1.0,,,1
margin,vote_correct,all,top1_top2_margin,rank_gap,2386,0.8407,0.5427,0.0427,1
margin,vote_correct,all,vote_entropy,support_dispersion,2386,0.8407,0.6694,0.1694,1
