query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_mixed_s2:e0:p0,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p18,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p27,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p30,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p42,2,0,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p65,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p70,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p71,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p72,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p77,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p78,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p80,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p82,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p84,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p85,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p87,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p94,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p96,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p100,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p101,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p102,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p108,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p111,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p122,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p125,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p129,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p130,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p131,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p135,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p142,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p145,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p147,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p151,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_mixed_s2:e0:p159,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p160,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p161,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p165,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p169,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p170,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p174,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p183,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_mixed_s2:e0:p186,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p187,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p188,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p190,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e0:p192,2,1,0,ACT,"{""3"": 1.0}",1.0
pairE_mixed_s2:e0:p195,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p198,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p207,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p210,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p218,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p225,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e0:p231,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e0:p232,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p240,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairE_mixed_s2:e0:p250,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e0:p255,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e1:p65,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e1:p89,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairE_mixed_s2:e1:p90,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p92,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p98,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p103,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p105,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e1:p112,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p116,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p119,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e1:p121,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p124,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p125,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.5
pairE_mixed_s2:e1:p126,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e1:p136,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e1:p149,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e1:p152,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e1:p165,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e1:p166,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e1:p180,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e1:p193,2,1,1,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e2:p74,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e2:p75,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e2:p99,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p110,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e2:p114,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e2:p118,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p120,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e2:p127,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e2:p128,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e2:p130,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p146,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e2:p147,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p159,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p160,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p161,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p169,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p173,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p178,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p186,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e2:p189,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e2:p191,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e2:p193,2,1,1,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e2:p200,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e3:p72,2,1,0,ACT,"{""0"": 1.0}",0.0
pairE_mixed_s2:e3:p79,2,1,0,ACT,"{""2"": 1.0}",0.0
pairE_mixed_s2:e3:p89,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairE_mixed_s2:e3:p92,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p102,2,1,0,ACT,"{""1"": 1.0}",1.0
pairE_mixed_s2:e3:p117,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p126,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p130,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p135,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p146,2,1,0,ACT,"{""2"": 1.0}",1.0
pairE_mixed_s2:e3:p147,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p148,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e3:p156,2,1,0,ACT,"{""1"": 1.0}",0.0
pairE_mixed_s2:e3:p159,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p160,3,1,1,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p169,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairE_mixed_s2:e3:p174,2,1,0,ACT,"{""3"": 1.0}",0.0
pairE_mixed_s2:e3:p180,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
