vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.0053924620151519775,0.4827849566936493,0.4773924946784973,1.091243028640747,2.977973461151123,0.3788270354270935,3,0,0,1,0,1,0,0.0,0.32319992780685425,2,clean,0.0,-1,4,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.0658082365989685,0.5655679106712341,0.4997596740722656,0.5158807635307312,1.6751132011413574,0.7885429263114929,2,0,0,1,0,1,0,0.0,0.28375333547592163,2,clean,0.0,-1,5,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.16582372784614563,0.6383922696113586,0.472568541765213,0.1517486870288849,1.163867712020874,0.9649896621704102,2,0,0,1,0,1,0,0.0,0.4421016573905945,2,clean,0.0,-1,6,16,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.13515961170196533,0.6480188369750977,0.5128592252731323,0.23456339538097382,1.2643566131591797,0.937214732170105,2,0,0,1,0,1,0,0.0,0.5292626023292542,2,clean,0.0,-1,14,15,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.1636589765548706,0.6486756801605225,0.48501670360565186,0.2651049494743347,1.3035677671432495,0.9406507015228271,3,0,0,1,0,1,0,0.0,0.4361149072647095,2,clean,0.0,-1,21,16,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.11646449565887451,0.617927074432373,0.5014625787734985,0.4729829430580139,1.604773998260498,0.8691489100456238,3,0,0,1,0,1,0,0.0,0.3313007950782776,2,clean,0.0,-1,22,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.11742746829986572,0.5949536561965942,0.4775261878967285,0.5487636923789978,1.7311115264892578,0.8407662510871887,3,0,0,1,0,1,0,0.0,0.339039146900177,2,clean,0.0,-1,24,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.20957601070404053,0.622356653213501,0.41278064250946045,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.36763814091682434,2,clean,0.0,-1,27,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.052156031131744385,0.5005539655685425,0.4483979344367981,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.21993941068649292,2,clean,0.0,-1,28,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.226179,0.606142,0.000175,0.984375,0.461526,0.611526,0.07545220851898193,0.5115644931793213,0.43611228466033936,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.2812047600746155,2,clean,0.0,-1,29,28,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
