policy,target,bucket,predictor,concept,n,base_rate_correct,auc,separation,orientation
margin,top1_correct,all,top1_top2_margin,rank_gap,2682,0.818,0.4005,0.0995,-1
margin,top1_correct,all,vote_entropy,support_dispersion,2682,0.818,0.6361,0.1361,1
margin,top1_correct,all,effective_support,manifold_support,2682,0.818,0.6361,0.1361,1
margin,top1_correct,all,max_vote_weight,peak_mass,2682,0.818,0.3657,0.1343,-1
margin,top1_correct,all,n_surviving_votes,support_breadth,2682,0.818,0.636,0.136,1
margin,top1_correct,all,sim_floor_active,floor_level,2682,0.818,0.6959,0.1959,1
margin,top1_correct,forced,top1_top2_margin,rank_gap,643,0.2411,0.1406,0.3594,-1
margin,top1_correct,forced,vote_entropy,support_dispersion,643,0.2411,0.689,0.189,1
margin,top1_correct,forced,effective_support,manifold_support,643,0.2411,0.689,0.189,1
margin,top1_correct,forced,max_vote_weight,peak_mass,643,0.2411,0.2027,0.2973,-1
margin,top1_correct,forced,n_surviving_votes,support_breadth,643,0.2411,0.5719,0.0719,1
margin,top1_correct,forced,sim_floor_active,floor_level,643,0.2411,0.6129,0.1129,1
margin,top1_correct,borderline,top1_top2_margin,rank_gap,213,1.0,,,1
margin,top1_correct,borderline,vote_entropy,support_dispersion,213,1.0,,,1
margin,top1_correct,borderline,effective_support,manifold_support,213,1.0,,,1
margin,top1_correct,borderline,max_vote_weight,peak_mass,213,1.0,,,1
margin,top1_correct,borderline,n_surviving_votes,support_breadth,213,1.0,,,1
margin,top1_correct,borderline,sim_floor_active,floor_level,213,1.0,,,1
margin,top1_correct,recoverable,top1_top2_margin,rank_gap,1826,1.0,,,1
margin,top1_correct,recoverable,vote_entropy,support_dispersion,1826,1.0,,,1
margin,top1_correct,recoverable,effective_support,manifold_support,1826,1.0,,,1
margin,top1_correct,recoverable,max_vote_weight,peak_mass,1826,1.0,,,1
margin,top1_correct,recoverable,n_surviving_votes,support_breadth,1826,1.0,,,1
margin,top1_correct,recoverable,sim_floor_active,floor_level,1826,1.0,,,1
margin,vote_correct,all,top1_top2_margin,rank_gap,2682,0.8743,0.3014,0.1986,-1
margin,vote_correct,all,vote_entropy,support_dispersion,2682,0.8743,0.7613,0.2613,1
margin,vote_correct,all,effective_support,manifold_support,2682,0.8743,0.7613,0.2613,1
margin,vote_correct,all,max_vote_weight,peak_mass,2682,0.8743,0.235,0.265,-1
margin,vote_correct,all,n_surviving_votes,support_breadth,2682,0.8743,0.7257,0.2257,1
margin,vote_correct,all,sim_floor_active,floor_level,2682,0.8743,0.6952,0.1952,1
margin,vote_correct,forced,top1_top2_margin,rank_gap,643,0.4759,0.1454,0.3546,-1
margin,vote_correct,forced,vote_entropy,support_dispersion,643,0.4759,0.8385,0.3385,1
margin,vote_correct,forced,effective_support,manifold_support,643,0.4759,0.8385,0.3385,1
margin,vote_correct,forced,max_vote_weight,peak_mass,643,0.4759,0.1098,0.3902,-1
margin,vote_correct,forced,n_surviving_votes,support_breadth,643,0.4759,0.7231,0.2231,1
margin,vote_correct,forced,sim_floor_active,floor_level,643,0.4759,0.587,0.087,1
margin,vote_correct,borderline,top1_top2_margin,rank_gap,213,1.0,,,1
margin,vote_correct,borderline,vote_entropy,support_dispersion,213,1.0,,,1
margin,vote_correct,borderline,effective_support,manifold_support,213,1.0,,,1
margin,vote_correct,borderline,max_vote_weight,peak_mass,213,1.0,,,1
margin,vote_correct,borderline,n_surviving_votes,support_breadth,213,1.0,,,1
margin,vote_correct,borderline,sim_floor_active,floor_level,213,1.0,,,1
margin,vote_correct,recoverable,top1_top2_margin,rank_gap,1826,1.0,,,1
margin,vote_correct,recoverable,vote_entropy,support_dispersion,1826,1.0,,,1
margin,vote_correct,recoverable,effective_support,manifold_support,1826,1.0,,,1
margin,vote_correct,recoverable,max_vote_weight,peak_mass,1826,1.0,,,1
margin,vote_correct,recoverable,n_surviving_votes,support_breadth,1826,1.0,,,1
margin,vote_correct,recoverable,sim_floor_active,floor_level,1826,1.0,,,1
relative,top1_correct,all,top1_top2_margin,rank_gap,2682,0.818,0.4005,0.0995,-1
relative,top1_correct,all,vote_entropy,support_dispersion,2682,0.818,0.6361,0.1361,1
relative,top1_correct,all,effective_support,manifold_support,2682,0.818,0.6361,0.1361,1
relative,top1_correct,all,max_vote_weight,peak_mass,2682,0.818,0.3657,0.1343,-1
relative,top1_correct,all,n_surviving_votes,support_breadth,2682,0.818,0.636,0.136,1
relative,top1_correct,all,sim_floor_active,floor_level,2682,0.818,0.6959,0.1959,1
relative,top1_correct,forced,top1_top2_margin,rank_gap,643,0.2411,0.1406,0.3594,-1
relative,top1_correct,forced,vote_entropy,support_dispersion,643,0.2411,0.689,0.189,1
relative,top1_correct,forced,effective_support,manifold_support,643,0.2411,0.689,0.189,1
relative,top1_correct,forced,max_vote_weight,peak_mass,643,0.2411,0.2027,0.2973,-1
relative,top1_correct,forced,n_surviving_votes,support_breadth,643,0.2411,0.5719,0.0719,1
relative,top1_correct,forced,sim_floor_active,floor_level,643,0.2411,0.6129,0.1129,1
relative,top1_correct,borderline,top1_top2_margin,rank_gap,213,1.0,,,1
relative,top1_correct,borderline,vote_entropy,support_dispersion,213,1.0,,,1
relative,top1_correct,borderline,effective_support,manifold_support,213,1.0,,,1
relative,top1_correct,borderline,max_vote_weight,peak_mass,213,1.0,,,1
relative,top1_correct,borderline,n_surviving_votes,support_breadth,213,1.0,,,1
relative,top1_correct,borderline,sim_floor_active,floor_level,213,1.0,,,1
relative,top1_correct,recoverable,top1_top2_margin,rank_gap,1826,1.0,,,1
relative,top1_correct,recoverable,vote_entropy,support_dispersion,1826,1.0,,,1
relative,top1_correct,recoverable,effective_support,manifold_support,1826,1.0,,,1
relative,top1_correct,recoverable,max_vote_weight,peak_mass,1826,1.0,,,1
relative,top1_correct,recoverable,n_surviving_votes,support_breadth,1826,1.0,,,1
relative,top1_correct,recoverable,sim_floor_active,floor_level,1826,1.0,,,1
relative,vote_correct,all,top1_top2_margin,rank_gap,2682,0.8743,0.3014,0.1986,-1
relative,vote_correct,all,vote_entropy,support_dispersion,2682,0.8743,0.7613,0.2613,1
relative,vote_correct,all,effective_support,manifold_support,2682,0.8743,0.7613,0.2613,1
relative,vote_correct,all,max_vote_weight,peak_mass,2682,0.8743,0.235,0.265,-1
relative,vote_correct,all,n_surviving_votes,support_breadth,2682,0.8743,0.7257,0.2257,1
relative,vote_correct,all,sim_floor_active,floor_level,2682,0.8743,0.6952,0.1952,1
relative,vote_correct,forced,top1_top2_margin,rank_gap,643,0.4759,0.1454,0.3546,-1
relative,vote_correct,forced,vote_entropy,support_dispersion,643,0.4759,0.8385,0.3385,1
relative,vote_correct,forced,effective_support,manifold_support,643,0.4759,0.8385,0.3385,1
relative,vote_correct,forced,max_vote_weight,peak_mass,643,0.4759,0.1098,0.3902,-1
relative,vote_correct,forced,n_surviving_votes,support_breadth,643,0.4759,0.7231,0.2231,1
relative,vote_correct,forced,sim_floor_active,floor_level,643,0.4759,0.587,0.087,1
relative,vote_correct,borderline,top1_top2_margin,rank_gap,213,1.0,,,1
relative,vote_correct,borderline,vote_entropy,support_dispersion,213,1.0,,,1
relative,vote_correct,borderline,effective_support,manifold_support,213,1.0,,,1
relative,vote_correct,borderline,max_vote_weight,peak_mass,213,1.0,,,1
relative,vote_correct,borderline,n_surviving_votes,support_breadth,213,1.0,,,1
relative,vote_correct,borderline,sim_floor_active,floor_level,213,1.0,,,1
relative,vote_correct,recoverable,top1_top2_margin,rank_gap,1826,1.0,,,1
relative,vote_correct,recoverable,vote_entropy,support_dispersion,1826,1.0,,,1
relative,vote_correct,recoverable,effective_support,manifold_support,1826,1.0,,,1
relative,vote_correct,recoverable,max_vote_weight,peak_mass,1826,1.0,,,1
relative,vote_correct,recoverable,n_surviving_votes,support_breadth,1826,1.0,,,1
relative,vote_correct,recoverable,sim_floor_active,floor_level,1826,1.0,,,1
pooled,top1_correct,all,top1_top2_margin,rank_gap,5364,0.818,0.4005,0.0995,-1
pooled,top1_correct,all,vote_entropy,support_dispersion,5364,0.818,0.6361,0.1361,1
pooled,top1_correct,all,effective_support,manifold_support,5364,0.818,0.6361,0.1361,1
pooled,top1_correct,all,max_vote_weight,peak_mass,5364,0.818,0.3657,0.1343,-1
pooled,top1_correct,all,n_surviving_votes,support_breadth,5364,0.818,0.636,0.136,1
pooled,top1_correct,all,sim_floor_active,floor_level,5364,0.818,0.6959,0.1959,1
pooled,top1_correct,forced,top1_top2_margin,rank_gap,1286,0.2411,0.1406,0.3594,-1
pooled,top1_correct,forced,vote_entropy,support_dispersion,1286,0.2411,0.689,0.189,1
pooled,top1_correct,forced,effective_support,manifold_support,1286,0.2411,0.689,0.189,1
pooled,top1_correct,forced,max_vote_weight,peak_mass,1286,0.2411,0.2027,0.2973,-1
pooled,top1_correct,forced,n_surviving_votes,support_breadth,1286,0.2411,0.5719,0.0719,1
pooled,top1_correct,forced,sim_floor_active,floor_level,1286,0.2411,0.6129,0.1129,1
pooled,top1_correct,borderline,top1_top2_margin,rank_gap,426,1.0,,,1
pooled,top1_correct,borderline,vote_entropy,support_dispersion,426,1.0,,,1
pooled,top1_correct,borderline,effective_support,manifold_support,426,1.0,,,1
pooled,top1_correct,borderline,max_vote_weight,peak_mass,426,1.0,,,1
pooled,top1_correct,borderline,n_surviving_votes,support_breadth,426,1.0,,,1
pooled,top1_correct,borderline,sim_floor_active,floor_level,426,1.0,,,1
pooled,top1_correct,recoverable,top1_top2_margin,rank_gap,3652,1.0,,,1
pooled,top1_correct,recoverable,vote_entropy,support_dispersion,3652,1.0,,,1
pooled,top1_correct,recoverable,effective_support,manifold_support,3652,1.0,,,1
pooled,top1_correct,recoverable,max_vote_weight,peak_mass,3652,1.0,,,1
pooled,top1_correct,recoverable,n_surviving_votes,support_breadth,3652,1.0,,,1
pooled,top1_correct,recoverable,sim_floor_active,floor_level,3652,1.0,,,1
pooled,vote_correct,all,top1_top2_margin,rank_gap,5364,0.8743,0.3014,0.1986,-1
pooled,vote_correct,all,vote_entropy,support_dispersion,5364,0.8743,0.7613,0.2613,1
pooled,vote_correct,all,effective_support,manifold_support,5364,0.8743,0.7613,0.2613,1
pooled,vote_correct,all,max_vote_weight,peak_mass,5364,0.8743,0.235,0.265,-1
pooled,vote_correct,all,n_surviving_votes,support_breadth,5364,0.8743,0.7257,0.2257,1
pooled,vote_correct,all,sim_floor_active,floor_level,5364,0.8743,0.6952,0.1952,1
pooled,vote_correct,forced,top1_top2_margin,rank_gap,1286,0.4759,0.1454,0.3546,-1
pooled,vote_correct,forced,vote_entropy,support_dispersion,1286,0.4759,0.8385,0.3385,1
pooled,vote_correct,forced,effective_support,manifold_support,1286,0.4759,0.8385,0.3385,1
pooled,vote_correct,forced,max_vote_weight,peak_mass,1286,0.4759,0.1098,0.3902,-1
pooled,vote_correct,forced,n_surviving_votes,support_breadth,1286,0.4759,0.7231,0.2231,1
pooled,vote_correct,forced,sim_floor_active,floor_level,1286,0.4759,0.587,0.087,1
pooled,vote_correct,borderline,top1_top2_margin,rank_gap,426,1.0,,,1
pooled,vote_correct,borderline,vote_entropy,support_dispersion,426,1.0,,,1
pooled,vote_correct,borderline,effective_support,manifold_support,426,1.0,,,1
pooled,vote_correct,borderline,max_vote_weight,peak_mass,426,1.0,,,1
pooled,vote_correct,borderline,n_surviving_votes,support_breadth,426,1.0,,,1
pooled,vote_correct,borderline,sim_floor_active,floor_level,426,1.0,,,1
pooled,vote_correct,recoverable,top1_top2_margin,rank_gap,3652,1.0,,,1
pooled,vote_correct,recoverable,vote_entropy,support_dispersion,3652,1.0,,,1
pooled,vote_correct,recoverable,effective_support,manifold_support,3652,1.0,,,1
pooled,vote_correct,recoverable,max_vote_weight,peak_mass,3652,1.0,,,1
pooled,vote_correct,recoverable,n_surviving_votes,support_breadth,3652,1.0,,,1
pooled,vote_correct,recoverable,sim_floor_active,floor_level,3652,1.0,,,1
