vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.017173707485198975,0.3305535316467285,0.31337982416152954,2.3541646003723145,10.529329299926758,0.1839292347431183,12,0,3,0,3,0,1,0.5655352473258972,-0.017173707485198975,0,stale-soft,0.0,6,1,105,BLENDED,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.015876054763793945,0.2917187809944153,0.27584272623062134,1.330826759338379,3.784170627593994,0.37586653232574463,4,0,3,0,3,0,1,1.0,-0.0553533136844635,0,stale-soft,0.0,6,2,120,BLENDED,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.050633758306503296,0.3514286279678345,0.3007948696613312,1.9221880435943604,6.835899353027344,0.35901182889938354,9,0,0,1,0,1,0,0.04791009798645973,0.10070145130157471,2,stale-soft,0.0,6,3,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.0053924620151519775,0.4827849566936493,0.4773924946784973,1.9875773191452026,7.297832012176514,0.2858436405658722,20,0,0,1,0,1,0,0.035591475665569305,0.15037503838539124,2,stale-soft,0.0,6,4,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.0658082365989685,0.5655679106712341,0.4997596740722656,1.7400692701339722,5.697738170623779,0.5355591773986816,20,0,0,1,0,1,1,0.15447038412094116,0.10757404565811157,2,stale-soft,0.0,6,5,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.16582372784614563,0.6383922696113586,0.472568541765213,0.6329162120819092,1.883094072341919,0.8838038444519043,20,0,0,1,0,1,0,0.009302270598709583,0.2675301432609558,2,stale-soft,0.0,6,6,16,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.02551242709159851,0.3990466296672821,0.3735342025756836,2.065477132797241,7.889060974121094,0.3281324505805969,13,0,0,1,0,1,1,0.39149749279022217,0.02551242709159851,1,stale-soft,0.0,6,7,13,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.027236104011535645,0.3051358461380005,0.27789974212646484,1.5102739334106445,4.527970790863037,0.37292730808258057,5,0,2,0,0,1,1,0.6149458885192871,-0.027236104011535645,0,stale-soft,0.0,6,8,79,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.06499189138412476,0.3318806290626526,0.26688873767852783,1.3255314826965332,3.7641854286193848,0.5340039730072021,5,0,0,1,0,1,1,0.14555670320987701,0.06499189138412476,2,stale-soft,0.0,6,9,5,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.04575318098068237,0.45655304193496704,0.41079986095428467,1.8002642393112183,6.051246166229248,0.45642560720443726,14,0,0,1,0,1,0,0.03261487931013107,0.17195120453834534,2,stale-soft,0.0,6,10,16,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.017584532499313354,0.31352007389068604,0.2959355413913727,1.97652006149292,7.217582702636719,0.2571393847465515,8,0,1,0,1,0,1,0.6197481155395508,-0.017584532499313354,0,stale-soft,0.0,6,11,63,BLENDED,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.011675894260406494,0.2855883836746216,0.2739124894142151,1.9164679050445557,6.796908855438232,0.21256305277347565,7,0,0,1,0,1,1,0.16829536855220795,0.011675894260406494,0,stale-soft,0.0,6,12,22,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.00714525580406189,0.41996464133262634,0.41281938552856445,2.2964859008789062,9.939193725585938,0.20963092148303986,18,0,1,0,0,1,1,0.48720550537109375,-0.00714525580406189,0,stale-soft,0.0,6,13,39,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.13515961170196533,0.6480188369750977,0.5128592252731323,0.5892003774642944,1.802546501159668,0.872982919216156,17,0,0,1,0,1,0,0.06702417880296707,0.1694115400314331,2,stale-soft,0.0,6,14,15,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.04656761884689331,0.36657634377479553,0.3200087249279022,2.395669937133789,10.97554874420166,0.26385489106178284,14,0,0,1,0,1,1,0.2227943241596222,0.04656761884689331,1,stale-soft,0.0,6,15,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.032222360372543335,0.4291180968284607,0.39689573645591736,2.2214407920837402,9.220605850219727,0.32744741439819336,17,0,0,1,0,1,1,0.2724232077598572,0.04824817180633545,1,stale-soft,0.0,6,16,11,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.017856359481811523,0.2718728184700012,0.2540164589881897,0.6774553060531616,1.9688612222671509,0.5883448719978333,2,0,1,0,1,0,1,1.0,-0.03347352147102356,0,stale-soft,0.0,6,17,33,BLENDED,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.06279599666595459,0.4024917483329773,0.3396957516670227,1.3117611408233643,3.7127065658569336,0.5946945548057556,7,0,0,1,0,1,0,0.0,0.16302543878555298,2,stale-soft,0.0,6,18,21,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.006571739912033081,0.40826213359832764,0.40169039368629456,2.512552261352539,12.33637523651123,0.16754616796970367,19,0,0,1,0,1,1,0.39997610449790955,0.006571739912033081,0,stale-soft,0.0,6,19,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.06002986431121826,0.30830004811286926,0.248270183801651,0.5409252643585205,1.7175953388214111,0.7686309814453125,2,0,0,1,0,1,0,0.0,0.07764540612697601,2,stale-soft,0.0,6,20,21,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.284266,0.57646,0.087923,0.953125,0.241334,0.391334,0.1636589765548706,0.6486756801605225,0.48501670360565186,0.5492057204246521,1.7318768501281738,0.8984385132789612,20,0,0,1,0,1,0,0.0063613541424274445,0.2938026189804077,2,stale-soft,0.0,6,21,16,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
