vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.09755361080169678,0.8776260614395142,0.7800724506378174,1.5186935663223267,4.566255569458008,0.6391333341598511,16,0,0,1,0,1,0,0.0,0.6235969066619873,2,stale-oneshot,0.0,6,0,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.0189131498336792,0.7112354040145874,0.6923222541809082,1.1402621269226074,3.1275880336761475,0.4688740670681,4,0,0,1,0,1,0,0.0,0.6017579436302185,2,stale-oneshot,0.0,6,1,26,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.016183972358703613,0.687955379486084,0.6717714071273804,1.2408915758132935,3.458695888519287,0.42242416739463806,4,0,0,1,0,1,0,0.0,0.5716513395309448,2,stale-oneshot,0.0,6,3,26,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.027385354042053223,0.6776177287101746,0.6502323746681213,1.428576946258545,4.172757148742676,0.3979160785675049,5,0,0,1,0,1,0,0.0,0.5568937063217163,2,stale-oneshot,0.0,6,4,26,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.01266169548034668,0.8394675254821777,0.826805830001831,1.9716848134994507,7.182767868041992,0.2910049557685852,17,0,0,1,0,1,0,0.0,0.5116991400718689,2,stale-oneshot,0.0,6,5,9,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.014681458473205566,0.8529242277145386,0.838242769241333,1.860795259475708,6.428847312927246,0.332837849855423,16,0,0,1,0,1,0,0.0,0.5032823085784912,2,stale-oneshot,0.0,6,6,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.010478556156158447,0.6518491506576538,0.6413705945014954,2.2328381538391113,9.326297760009766,0.17510603368282318,10,0,0,1,0,1,0,0.0,0.520401120185852,2,stale-oneshot,0.0,6,7,1,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.12886571884155273,0.896051287651062,0.7671855688095093,1.5073814392089844,4.514892578125,0.6626251935958862,20,0,0,1,0,1,0,0.0,0.6756824254989624,2,stale-oneshot,0.0,6,8,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.06819701194763184,0.9014265537261963,0.8332295417785645,1.3436859846115112,3.833146333694458,0.6356621980667114,15,0,0,1,0,1,0,0.0,0.6309511661529541,2,stale-oneshot,0.0,6,9,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.039280712604522705,0.7741971015930176,0.7349163889884949,1.9874135255813599,7.296637058258057,0.3698842525482178,13,0,0,1,0,1,0,0.0,0.6089765429496765,2,stale-oneshot,0.0,6,11,11,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.014030814170837402,0.8035467267036438,0.7895159125328064,2.2058629989624023,9.078082084655762,0.27820056676864624,19,0,0,1,0,1,0,0.0,0.5438989400863647,2,stale-oneshot,0.0,6,12,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.002141118049621582,0.7207450866699219,0.7186039686203003,1.887996792793274,6.606122016906738,0.25072813034057617,10,0,0,1,0,1,0,0.0,0.6056685447692871,2,stale-oneshot,0.0,6,13,21,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.232572,0.599567,0.0,0.984375,0.573016,0.723016,0.07729268074035645,0.7864662408828735,0.7091735601425171,1.261191487312317,3.5296244621276855,0.6044350266456604,6,0,0,1,0,1,0,0.0,0.7000522613525391,2,stale-oneshot,0.0,6,14,26,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
