query_id,epoch,probe_index,led_slot,merge_support_flag,abstained_core,state,disposition,reason_code,evidence_ptr,certification_tier
pairE_stale_s2:e0:p0,0,0,17,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 17 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=pair_counterpart, width=2, truncated=0]",harness-heuristic
pairE_stale_s2:e0:p2,0,2,5,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p3,0,3,22,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p4,0,4,25,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p5,0,5,23,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p6,0,6,7,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p7,0,7,24,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 24 superseded (supersession verdict) @epoch 0,harness-heuristic
pairE_stale_s2:e0:p8,0,8,25,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p9,0,9,5,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p11,0,11,20,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p12,0,12,31,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p13,0,13,5,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p14,0,14,7,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p15,0,15,0,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 0 superseded (supersession verdict) @epoch 0,harness-heuristic
pairE_stale_s2:e0:p16,0,16,16,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p17,0,17,28,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p18,0,18,17,0,0,human-review,shown_with_caveat,led_pending_ambiguous,"router(fork_events.csv): slot 17 in ambiguous (pending) pair @epoch 0; witness-window dual-present [source=pair_counterpart, width=2, truncated=0]",harness-heuristic
pairE_stale_s2:e0:p19,0,19,23,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairE_stale_s2:e0:p20,0,20,14,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
