vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.008692145347595215,0.6145343780517578,0.6058422327041626,2.4878780841827393,12.035710334777832,0.1735929250717163,16,0,0,1,0,1,0,0.0,0.48662111163139343,2,clean,0.0,-1,0,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.002864539623260498,0.7485058903694153,0.7456413507461548,2.406562566757202,11.095754623413086,0.19970422983169556,20,0,0,1,0,1,0,0.0,0.5389264225959778,2,clean,0.0,-1,1,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.03562748432159424,0.8512296676635742,0.81560218334198,1.8628650903701782,6.44216775894165,0.437677800655365,20,0,0,1,0,1,0,0.0,0.613601803779602,2,clean,0.0,-1,2,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.06120377779006958,0.8351686596870422,0.7739648818969727,2.109811305999756,8.246685028076172,0.39704185724258423,20,0,0,1,0,1,0,0.0,0.6275011301040649,2,clean,0.0,-1,3,27,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.06320923566818237,0.6585389971733093,0.595329761505127,1.3653671741485596,3.917160987854004,0.5692832469940186,7,0,0,1,0,1,0,0.0,0.5165534019470215,2,clean,0.0,-1,4,12,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.01838463544845581,0.8731691241264343,0.8547844886779785,2.0343306064605713,7.647131443023682,0.3304731547832489,20,0,0,1,0,1,0,0.0,0.6164111495018005,2,clean,0.0,-1,5,27,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.024461090564727783,0.8591064214706421,0.8346453309059143,2.0839645862579346,8.036266326904297,0.31034284830093384,20,0,0,1,0,1,0,0.0,0.5630691647529602,2,clean,0.0,-1,6,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.01217198371887207,0.7492260336875916,0.7370540499687195,1.5021567344665527,4.491365432739258,0.3474813997745514,7,0,0,1,0,1,0,0.0,0.639962911605835,2,clean,0.0,-1,7,12,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.0574725866317749,0.8665192127227783,0.8090466260910034,1.768878698348999,5.864274024963379,0.46956494450569153,20,0,0,1,0,1,0,0.0,0.5741294622421265,2,clean,0.0,-1,8,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.02331995964050293,0.6571364402770996,0.6338164806365967,1.8307143449783325,6.238341331481934,0.389030396938324,13,0,0,1,0,1,0,0.0,0.32575005292892456,2,clean,0.0,-1,9,2,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.010274708271026611,0.8123652935028076,0.802090585231781,2.2328696250915527,9.326591491699219,0.24554862082004547,20,0,0,1,0,1,0,0.0,0.6101858019828796,2,clean,0.0,-1,10,27,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.0263330340385437,0.7415318489074707,0.715198814868927,2.523719310760498,12.474908828735352,0.197550967335701,20,0,0,1,0,1,0,0.0,0.41163015365600586,2,clean,0.0,-1,11,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.053028225898742676,0.6884907484054565,0.6354625225067139,1.888684630393982,6.610667705535889,0.44716835021972656,15,0,0,1,0,1,0,0.0,0.27818992733955383,2,clean,0.0,-1,12,28,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.03296172618865967,0.8734875321388245,0.8405258059501648,1.9558680057525635,7.0700531005859375,0.34270551800727844,20,0,0,1,0,1,0,0.0,0.5720294713973999,2,clean,0.0,-1,13,19,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.04973268508911133,0.6596090793609619,0.6098763942718506,2.256545066833496,9.550037384033203,0.349910169839859,18,0,0,1,0,1,0,0.0,0.376028835773468,2,clean,0.0,-1,14,14,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.059464991092681885,0.8609749674797058,0.8015099763870239,2.2850558757781982,9.826234817504883,0.3320564925670624,20,0,0,1,0,1,0,0.0,0.6294852495193481,2,clean,0.0,-1,15,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.03566533327102661,0.8514373302459717,0.8157719969749451,1.8758732080459595,6.526515483856201,0.3923010230064392,20,0,0,1,0,1,0,0.0,0.6156409978866577,2,clean,0.0,-1,16,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.0259246826171875,0.817624568939209,0.7916998863220215,2.0725443363189697,7.945012092590332,0.3371545076370239,20,0,0,1,0,1,0,0.0,0.615166425704956,2,clean,0.0,-1,17,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.01809978485107422,0.7281592488288879,0.7100594639778137,2.3283562660217285,10.261061668395996,0.26296719908714294,19,0,0,1,0,1,0,0.0,0.5232799649238586,2,clean,0.0,-1,18,11,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.056340694427490234,0.8419591784477234,0.7856184840202332,1.8564157485961914,6.400753498077393,0.4715288579463959,20,0,0,1,0,1,0,0.0,0.6057676076889038,2,clean,0.0,-1,19,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.10735994577407837,0.8890054225921631,0.7816454768180847,1.654344081878662,5.229648590087891,0.6039719581604004,20,0,0,1,0,1,0,0.0,0.7198744416236877,2,clean,0.0,-1,20,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.07574641704559326,0.8565751314163208,0.7808287143707275,1.6038110256195068,4.971944808959961,0.5907458066940308,20,0,0,1,0,1,0,0.0,0.6307447552680969,2,clean,0.0,-1,21,0,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.010011017322540283,0.609879732131958,0.5998687148094177,2.661395788192749,14.31625747680664,0.1477361023426056,19,0,0,1,0,1,0,0.0,0.39039385318756104,2,clean,0.0,-1,22,7,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.004011273384094238,0.6520997285842896,0.6480884552001953,2.446258783340454,11.545073509216309,0.1887655258178711,19,0,0,1,0,1,0,0.0,0.523506760597229,2,clean,0.0,-1,23,11,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.244356,0.607198,5.7e-05,0.980469,0.466277,0.616277,0.0026372671127319336,0.7925955057144165,0.7899582386016846,2.366831064224243,10.663546562194824,0.22386150062084198,20,0,0,1,0,1,0,0.0,0.5823259949684143,2,clean,0.0,-1,24,22,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
