query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairE_oneshot_s1:e0:p0,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p3,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p4,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p8,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p13,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p14,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p16,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p22,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p25,2,1,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p26,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p32,2,0,1,ACT,"{""3"": 1.0}",0.0
pairE_oneshot_s1:e0:p35,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p39,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p42,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p48,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p53,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p59,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p61,2,0,1,ACT,"{""1"": 1.0}",0.0
pairE_oneshot_s1:e0:p78,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p80,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p81,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p82,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p90,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p93,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p95,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p100,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p101,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p106,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p114,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p125,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p126,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p160,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p201,2,0,0,ACT,"{""0"": 1.0}",0.0
pairE_oneshot_s1:e0:p204,2,0,0,ACT,"{""0"": 1.0}",0.0
