query_id,width,all_witness,led_never_resolving,decision,acted_class_mass,expected_correct
pairB_mixed_s2:e0:p69,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e0:p74,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e0:p75,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e0:p76,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e0:p81,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e0:p93,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p96,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e0:p103,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e0:p104,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p105,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e0:p108,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e0:p113,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p121,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e0:p128,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p130,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p132,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p135,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p137,2,1,0,ACT,"{""3"": 1.0}",0.0
pairB_mixed_s2:e0:p138,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p139,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p140,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p145,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p146,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p147,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p148,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairB_mixed_s2:e0:p151,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p153,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p160,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p162,2,1,0,ACT,"{""2"": 1.0}",1.0
pairB_mixed_s2:e0:p163,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p164,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p165,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p166,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p170,3,1,0,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairB_mixed_s2:e0:p171,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p180,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p187,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p188,2,1,1,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p189,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p190,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p191,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p205,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p208,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p214,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e0:p220,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p225,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e0:p248,2,0,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e1:p67,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e1:p68,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e1:p80,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e1:p82,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e1:p91,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e1:p92,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e1:p98,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e1:p99,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e1:p110,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e1:p115,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e1:p123,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e1:p129,2,1,0,ACT,"{""3"": 1.0}",0.0
pairB_mixed_s2:e1:p168,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e1:p188,3,1,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairB_mixed_s2:e1:p195,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e1:p197,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e1:p199,2,1,0,ACT,"{""3"": 1.0}",1.0
pairB_mixed_s2:e1:p229,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e1:p237,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e1:p245,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e1:p249,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e1:p253,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p83,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e2:p109,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p112,2,1,0,ACT,"{""3"": 1.0}",0.0
pairB_mixed_s2:e2:p116,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p125,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p130,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e2:p131,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e2:p135,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.5
pairB_mixed_s2:e2:p141,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e2:p143,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e2:p149,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e2:p160,2,1,0,ACT,"{""2"": 1.0}",1.0
pairB_mixed_s2:e2:p164,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e2:p180,3,1,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairB_mixed_s2:e2:p187,3,1,0,ACT,"{""0"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e2:p188,3,1,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairB_mixed_s2:e2:p198,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p200,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p203,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p209,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p215,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p217,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p224,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p235,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p238,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e2:p241,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e2:p255,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p65,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e3:p72,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e3:p91,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e3:p95,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e3:p107,2,1,0,ACT,"{""1"": 1.0}",1.0
pairB_mixed_s2:e3:p113,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e3:p115,3,1,0,ACT,"{""2"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e3:p141,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p150,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p152,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p169,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p177,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p221,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p223,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p225,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e3:p227,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p232,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e3:p251,2,1,0,ACT,"{""1"": 1.0}",0.0
pairB_mixed_s2:e4:p67,3,1,0,ACT,"{""0"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p76,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.5
pairB_mixed_s2:e4:p112,2,1,0,ACT,"{""1"": 1.0}",1.0
pairB_mixed_s2:e4:p141,2,1,0,ACT,"{""2"": 1.0}",1.0
pairB_mixed_s2:e4:p146,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e4:p153,3,1,0,ACT,"{""1"": 0.5, ""3"": 0.5}",0.0
pairB_mixed_s2:e4:p154,2,1,0,ACT,"{""0"": 1.0}",0.0
pairB_mixed_s2:e4:p156,2,1,0,ACT,"{""3"": 1.0}",0.0
pairB_mixed_s2:e4:p174,2,1,0,ACT,"{""2"": 1.0}",1.0
pairB_mixed_s2:e4:p180,3,1,1,ACT,"{""0"": 0.5, ""1"": 0.5}",0.0
pairB_mixed_s2:e4:p183,2,1,0,ACT,"{""3"": 1.0}",0.0
pairB_mixed_s2:e4:p196,2,1,0,ACT,"{""2"": 1.0}",0.0
pairB_mixed_s2:e4:p204,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p206,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p207,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p222,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p223,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p227,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p230,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
pairB_mixed_s2:e4:p232,3,1,0,ACT,"{""1"": 0.5, ""2"": 0.5}",0.0
