query_id,epoch,probe_index,led_slot,merge_support_flag,abstained_core,state,disposition,reason_code,evidence_ptr,certification_tier
pairD_stale-soft_s0:e0:p0,0,0,7,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p1,0,1,0,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p2,0,2,17,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 17 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p3,0,3,7,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p4,0,4,43,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p5,0,5,17,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 17 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p6,0,6,24,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 24 superseded (supersession verdict) @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p7,0,7,61,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 61 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p8,0,8,52,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 52 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p9,0,9,29,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 29 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p10,0,10,24,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 24 superseded (supersession verdict) @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p11,0,11,72,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p12,0,12,13,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p13,0,13,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p14,0,14,35,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p15,0,15,19,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 19 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p16,0,16,24,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 24 superseded (supersession verdict) @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p17,0,17,15,0,0,superseded,withheld,led_superseded_supersession,router(fork_events.csv): slot 15 superseded (supersession verdict) @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p18,0,18,7,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p20,0,20,17,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 17 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p21,0,21,19,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 19 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p23,0,23,5,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p24,0,24,17,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 17 in ambiguous (pending) pair @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p25,0,25,26,0,0,agent-readable,shown,no_adverse_flag,topk.csv.gz + router: no adverse flag on support @epoch 0,harness-heuristic
pairD_stale-soft_s0:e0:p26,0,26,52,0,0,human-review,escalated,led_pending_ambiguous,router(fork_events.csv): slot 52 in ambiguous (pending) pair @epoch 0,harness-heuristic
