vigilance_policy,retrieval_floor_policy,epoch,contraction,rho_probe,within_probe,offclass_weight_mean,acc_epoch,sim_floor_active,floor_delta_ema,top1_top2_margin,top1_sim,top2_sim,vote_entropy,effective_support,max_vote_weight,n_surviving_votes,true_label,top1_label,top1_correct,vote_pred_label,vote_correct,is_blended,offclass_weight,true_margin,margin_bucket,arm,injection_rate,supersede_epoch,probe_index,top1_slot,failure_mode,contradictory_strict,contradictory_lenient,stale_strict,stale_lenient,n_contra_topk,n_stale_topk,contra_vote_weight,stale_vote_weight,served_outcome,abstain_reason
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.08858919143676758,0.5616472959518433,0.4730581045150757,1.1684417724609375,3.2169759273529053,0.6596661806106567,6,0,0,1,0,1,0,0.04808420687913895,0.1309390366077423,2,contra,0.15,-1,0,7,CORRECT,0,0,0,0,1,0,0.048084,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.1748359203338623,0.490217924118042,0.3153820037841797,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.17833805084228516,2,contra,0.15,-1,2,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.006202340126037598,0.4598029851913452,0.4536006450653076,1.7706784009933472,5.874837398529053,0.21362805366516113,6,0,0,1,0,1,1,0.3372027277946472,0.006202399730682373,0,contra,0.15,-1,3,7,CORRECT,0,0,0,0,2,0,0.337203,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.036956191062927246,0.45662984251976013,0.4196736514568329,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.18138912320137024,2,contra,0.15,-1,4,15,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.05785566568374634,0.5367840528488159,0.4789283871650696,1.3943967819213867,4.032541275024414,0.5362854599952698,6,0,0,1,0,1,0,0.06340588629245758,0.10675552487373352,2,contra,0.15,-1,6,24,CORRECT,0,0,0,0,1,0,0.063406,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.0042091310024261475,0.4691773056983948,0.46496817469596863,1.0978106260299683,2.997596025466919,0.352295458316803,3,0,0,1,0,1,1,0.3238522708415985,0.0042091310024261475,0,contra,0.15,-1,9,29,CORRECT,0,0,0,0,1,0,0.323852,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.19785073399543762,0.6366702318191528,0.4388194978237152,0.09317874163389206,1.0976579189300537,0.981238603591919,2,0,0,1,0,1,0,0.0,0.2852648198604584,2,contra,0.15,-1,10,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.08419808745384216,0.5011003613471985,0.4169022738933563,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.10824096202850342,2,contra,0.15,-1,16,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.24001169204711914,0.697227954864502,0.4572162628173828,0.11534050852060318,1.1222554445266724,0.9808669686317444,4,0,0,1,0,1,0,0.0055312905460596085,0.2589007616043091,2,contra,0.15,-1,20,17,CORRECT,0,0,0,0,1,0,0.005531,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.07864773273468018,0.5750564336776733,0.49640870094299316,0.4587221145629883,1.5820510387420654,0.8282042741775513,2,0,0,1,0,1,0,0.0,0.22796276211738586,2,contra,0.15,-1,24,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.002972900867462158,0.44835323095321655,0.4453803300857544,1.0976409912109375,2.9970874786376953,0.35208064317703247,3,0,0,1,0,1,0,0.0,0.03325274586677551,1,contra,0.15,-1,27,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.18138855695724487,0.5200752019882202,0.33868664503097534,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.1928633451461792,2,contra,0.15,-1,30,17,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.038204312324523926,0.4632206857204437,0.4250163733959198,0.6251691579818726,1.8685619831085205,0.68224036693573,2,0,0,1,0,1,0,0.0,0.14461210370063782,2,contra,0.15,-1,31,24,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.0,0.7049044370651245,0.7049044370651245,0.6931471824645996,2.0,0.5,2,0,3,0,0,1,1,0.5,0.0,0,contra,0.15,-1,32,146,CORRECT,0,0,0,0,1,0,0.5,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.0,0.5084764957427979,0.5084764957427979,1.3862911462783813,3.9999871253967285,0.3640998601913452,5,0,3,0,0,1,1,0.4625406563282013,0.0,0,contra,0.15,-1,35,146,CORRECT,0,0,0,0,2,0,0.462541,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.09329068660736084,0.516991376876831,0.4237006902694702,-0.0,1.0,1.0,1,0,0,1,0,1,0,0.0,0.09329068660736084,2,contra,0.15,-1,37,29,CORRECT,0,0,0,0,0,0,0.0,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.00608476996421814,0.49096089601516724,0.4848761260509491,1.6960198879241943,5.452203750610352,0.28914177417755127,6,0,0,1,0,1,1,0.22742348909378052,0.044463515281677246,1,contra,0.15,-1,38,3,CORRECT,0,0,0,0,2,0,0.227423,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,5.960464477539063e-08,0.4733890891075134,0.47338902950286865,0.6931471824645996,2.0,0.5000004768371582,2,0,3,0,3,0,1,0.5000004768371582,-5.960464477539063e-08,0,contra,0.15,-1,40,146,CONTRADICTORY_STRICT,1,1,0,0,1,0,0.5,0.0,answer,
margin,live-delta,0,0.0,0.536927,0.615529,0.129426,0.976562,0.424122,0.574122,0.0,0.4363560676574707,0.4363560676574707,0.6931471824645996,2.0,0.5,2,0,1,0,0,1,1,0.5,0.0,0,contra,0.15,-1,44,130,CORRECT,0,0,0,0,1,0,0.5,0.0,answer,
